,experience(years),"Algorithms (ex: computational complexity, CS theory)",Back-End Programming (ex: JAVA/Rails/Objective C),"Bayesian/Monte-Carlo Statistics (ex: MCMC, BUGS)","Big and Distributed Data (ex: Hadoop, Map/Reduce)","Business (ex: management, business development, budgeting)","Classical Statistics (ex: general linear model, ANOVA)","Data Manipulation (ex: regexes, Python, R, SAS, web scraping)","Front-End Programming (ex: java script, HTML, CSS)","Graphical Models (ex: social networks, Bayes networks)","Machine Learning (ex: decision trees, neural nets, SVM, clustering)","Math (ex: linear algebra, real analysis, calculus)","Optimization (ex: linear, integer, convex, global)","Product Development (ex: design, project management)","Science (ex: experimental design, technical writing/publishing)","Simulation (ex: discrete, agent-based, continuous)","Spatial Statistics (ex: geographic covariates, GIS)","Structured Data (ex: RDBMS, SQL, JSON, XML, ETL)",Surveys and Marketing (ex: multinomial modeling),"Systems Administration (ex: *nix, DBA, cloud tech.)","Temporal Statistics (ex: forecasting, time-series analysis)","Unstructured Data (ex: noSQL, text mining)","Visualization (ex: statistical graphics, mapping, web-based data‐viz)"
,5,1,1,1,1,5,3,1,1,1,1,4,2,5,1,1,1,2,3,1,1,1,1
,2,4,5,3,5,4,3,4,4,4,4,3,4,4,4,2,3,5,3,2,4,4,2
,1,2,1,4,4,4,4,5,3,4,4,5,5,3,3,3,4,3,4,2,5,4,4
,1,4,4,4,3,2,4,4,2,5,5,5,5,2,5,4,3,3,2,1,2,2,2
,7,5,5,2,3,2,3,4,5,5,4,4,4,5,5,4,3,5,2,3,2,5,5
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,2,1,3,1,1,4,4,1,1,1,3,2,1,3,1,1,1,2,1,1,1,1
,0,2,2,2,2,5,3,3,1,1,1,3,2,3,1,1,1,3,2,3,2,1,3
,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,4,2,4,3,2,5,4,2,3,4,5,3,2,5,3,4,5,2,5,3,4,4
,8,2,1,2,2,4,5,4,1,2,5,3,2,3,4,2,4,4,5,1,3,3,3
,1,2,2,4,2,4,4,3,2,2,3,4,4,4,4,2,2,2,4,2,3,2,3
,22,1,4,2,3,3,2,5,4,2,2,4,2,2,2,2,1,5,2,3,3,2,4
,0,2,1,2,1,2,2,2,1,1,2,3,2,1,1,1,1,1,1,1,2,1,1
,1,1,1,1,1,3,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
,8,4,4,2,4,5,4,3,2,4,4,3,4,4,2,2,3,5,2,4,4,4,5
,1,3,1,2,1,1,3,3,2,1,2,5,3,1,5,3,1,2,1,1,4,2,2
,3,4,4,3,4,4,3,4,2,2,3,3,4,3,4,3,4,4,2,4,3,4,5
,14,4,1,2,2,3,4,5,1,2,4,2,2,1,4,3,2,4,1,1,4,4,4
,5,5,4,2,3,2,4,4,3,4,5,3,3,3,5,4,3,4,2,3,4,5,3
,8,2,3,2,2,2,3,3,4,2,4,5,4,2,5,5,1,2,1,2,2,2,3
,1,1,1,2,2,4,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
,15,3,1,2,1,4,5,5,1,4,4,4,2,4,5,3,2,5,5,1,3,5,5
,6,4,2,3,2,2,5,5,2,4,4,3,4,4,4,4,2,4,3,2,4,2,5
,5,3,1,3,3,4,4,3,1,1,4,4,3,3,3,4,3,3,2,2,2,3,4
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5,2,2,2,2,4,5,3,1,3,3,3,2,1,4,2,1,2,3,1,4,3,2
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,2,4,1,2,1,1,2,3,1,1,3,1,4,2,1,1,4,1,1,1,2,3
,3,4,3,4,3,2,4,4,3,4,5,4,4,2,3,4,2,3,2,2,4,4,3
,2,4,4,4,3,2,3,4,2,4,4,4,3,2,2,2,2,4,3,2,3,3,3
,5,3,1,3,2,4,3,3,2,1,2,4,3,3,2,2,2,2,1,1,3,2,2
,2,2,4,1,3,4,1,3,2,1,1,3,3,5,2,2,2,5,2,4,3,3,4
,8,3,1,3,1,2,5,3,1,1,2,5,3,1,1,4,1,4,1,1,5,1,1
,5,1,2,1,2,4,1,1,2,2,1,2,1,3,1,1,1,3,2,2,1,1,2
,0,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1,2
,2,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,3,4,1,1,1
,10,4,2,4,2,2,4,2,1,2,3,4,3,3,2,3,3,1,3,1,4,2,3
,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,1,2,1,1,4,3,2,2,1,1,4,2,4,1,1,1,3,3,2,1,1,1
,0,1,1,1,1,3,2,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1
,8,2,2,3,2,4,4,2,2,4,4,2,2,4,4,1,1,1,1,1,1,1,2
,2,1,2,1,2,2,3,1,3,2,2,1,1,3,4,2,2,4,2,2,2,2,1
,2,3,2,2,2,5,2,1,3,2,3,4,3,5,4,3,2,4,2,1,4,2,1
